Label	TTR Ratio	Avg Stop Words	Avg Sent Len	contentToNonPOS	Noun	Verb	adjNoun
1	1	0.545454545	17	4	6	3	1
1	0.863636364	0.818181818	40	1.923076923	13	7	1
1	0.947368421	1.052631579	19.5	1.769230769	9.461538462	5.230769231	0.423076923
0	0.981481481	0.796296296	35	2.013553114	17.3047619	14.27619048	0.561904762
1	0.836065574	0.639344262	25.25	2.161716172	9.207920792	4.158415842	0.359075908
1	0.8	0.690909091	19	4.271637427	13.4	6.221052632	0.810526316
1	0.913043478	0.652173913	16.85714286	13.32485876	7.449152542	4.313559322	0.457627119
0	0.955223881	1.28358209	16	1.779103423	4.79375	5.43125	0.1359375
1	0.77852349	0.838926174	18.8	2.223580793	5.524822695	4.45035461	0.386524823
1	0.809859155	0.73943662	13.05	9.915389527	6.570881226	2.950191571	0.287356322
1	1	0.933333333	31	1.416666667	8	5	0.333333333
1	0.928571429	0.428571429	20	1.5	6	1	0.333333333
1	1	1.153846154	14	1.95	2	4.285714286	0
1	1	1.333333333	13	1.937728938	2.820512821	3.871794872	0.307692308
0	0.961538462	1.346153846	17.5	4.226785714	3.971428571	5.6	0.414285714
1	0.875	0.597222222	23.6	2.459456857	8.847457627	3.830508475	0.86440678
0	0.985294118	0.691176471	17.42857143	3.923130967	8.475409836	1.893442623	0.393442623
1	0.787401575	0.881889764	24.3	5.625836782	10.20987654	4.436213992	0.701508916
0	0.954887218	1.067669173	18.93333333	2.67369143	8.151408451	5.105633803	0.382042254
0	0.96350365	1	14.5	4.847110763	6.827586207	4.234482759	0.625287356
1	0.941176471	0.411764706	24	2.833333333	12	4	0
1	1	1.666666667	8	1	2	1	0
0	0.947368421	0.894736842	19	1.410087719	3.815789474	1.210526316	0.394736842
0	1	0.764705882	10.33333333	16.32258065	4.322580645	1.548387097	0.677419355
1	1	0.783783784	16.5	1.765909091	7.393939394	2.590909091	0.628787879
0	0.980769231	0.884615385	20	3.164380952	9.94	5.37	0.5
1	0.9	0.714285714	17.42857143	3.701945595	7.87704918	2.631147541	0.454918033
1	0.805084746	0.652542373	19.5	2.089523255	8.507692308	3.779487179	0.713333333
1	0.74375	0.9	20.4	6.441798942	6.928104575	3.866013072	0.712962963
0	0.937062937	0.951048951	14.5	6.932265578	6.934482759	4.782758621	0.562068966
1	1	0.833333333	11	1.2	4	2	0
0	1	0.571428571	12	4	4	2	1
0	1	0.695652174	20.5	1.803252033	8.634146341	5.317073171	0.829268293
0	1	1.181818182	8.666666667	1.423076923	3.192307692	1.5	0
1	0.772727273	0.878787879	31	1.464241404	8.862903226	5.112903226	0.89516129
0	0.962264151	0.962264151	22.4	1.527850275	8.723214286	3.803571429	0.401785714
0	0.955555556	1.177777778	15	1.473333333	6.838095238	3.40952381	0.761904762
0	0.981818182	0.909090909	11.3	4.773893805	5.132743363	3.353982301	0.415929204
1	0.691176471	0.827205882	34.26666667	1.628884734	10.34824903	6.898832685	0.536705577
1	0.669642857	0.620535714	18.95	3.525014563	8.131926121	4.366754617	0.540897098
0	1	0.714285714	50	2.285714286	15	12	0
0	1	0.961538462	54	1.578947368	21	7	0
0	1	2	6	1.222222222	0.666666667	2	0
1	0.846153846	0.666666667	22	2.914983165	9.242424242	3.606060606	0.515151515
1	0.808510638	1.106382979	24.75	2.874494949	6.161616162	6.262626263	0.357575758
1	0.782051282	1.128205128	34	1.910776942	12.07058824	6.705882353	0.611764706
1	0.859375	1.265625	21.14285714	1.910330042	4.817567568	4.837837838	0.439189189
0	0.956521739	0.913043478	18	8.193888224	8.25	5.45	0.5
1	0.766304348	1.038043478	26.2	1.62915784	10.73791349	5.010178117	0.643681086
0	0.906040268	1.026845638	15.75	8.065045695	7.4	6.93015873	0.687301587
0	1	1.333333333	8	1.333333333	3	1	0
0	1	0	5	152	5	0	0
1	0.933333333	1.266666667	18	1.641975309	3.444444444	3	0.305555556
1	0.941176471	1	13	1.934472934	4.58974359	4.102564103	0.897435897
1	0.9	0.675	17.5	2.814285714	5.571428571	2.657142857	0.523809524
1	0.936170213	0.723404255	16.8	1.971320346	6.428571429	2.642857143	0.738095238
0	1	1	10.14285714	8.056338028	3.802816901	3.845070423	0.274647887
0	0.967032967	1.153846154	20.4	1.972766466	5.416666667	5.098039216	0.581699346
